trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.65, 'e': 0.43604928632153556}",30,0,-8.803775762728419,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
85,False,"{'a': 0.65, 'e': 0.43171052342907973}",25,8,-49.375385893840445,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
86,False,"{'a': 0.65, 'e': 0.4274149319487267}",20,0,-23.840734257784668,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
87,False,"{'a': 0.65, 'e': 0.4231620823177488}",25,11,11.493755592742879,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.65, 'e': 0.418951549247639}",30,8,-10.909866003195091,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
89,False,"{'a': 0.65, 'e': 0.4147829116815814}",25,9,3.182692127640083,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.65, 'e': 0.4106557527523455}",30,10,-17.199813444016858,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.65, 'e': 0.4065696597405991}",20,15,8.058053597847623,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.65, 'e': 0.40252422403363597}",30,10,-42.83280999745371,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",1
93,False,"{'a': 0.65, 'e': 0.39851904108451414}",20,1,-57.406384303759026,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 1}",1
94,False,"{'a': 0.65, 'e': 0.3945537103716011}",20,7,-40.82041386602594,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
95,False,"{'a': 0.65, 'e': 0.3906278353585211}",20,0,-87.59203618412293,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
96,False,"{'a': 0.65, 'e': 0.3867410234545012}",25,0,-14.652634366490725,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
97,False,"{'a': 0.65, 'e': 0.38289288597511206}",30,21,-91.78138704495385,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 2}",1
98,False,"{'a': 0.65, 'e': 0.37908303810339883}",35,7,-43.539504005126744,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 0}",1
99,False,"{'a': 0.65, 'e': 0.37531109885139957}",20,0,-77.90105222014091,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
100,False,"{'a': 0.65, 'e': 0.3715766910220457}",30,18,-13.611202294287045,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
101,False,"{'a': 0.65, 'e': 0.36787944117144233}",20,0,-16.06783995654616,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
102,False,"{'a': 0.65, 'e': 0.3642189795715233}",20,5,8.592241255234622,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.65, 'e': 0.3605949401730783}",30,0,0.5856118291193859,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
104,False,"{'a': 0.65, 'e': 0.3570069605691474}",20,10,3.7753899492631207,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.65, 'e': 0.35345468195878016}",25,11,-5.4476645366951235,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
106,False,"{'a': 0.65, 'e': 0.3499377491111553}",20,12,-35.13281986613616,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 0.65, 'e': 0.3464558103300574}",25,11,13.779924260231182,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.65, 'e': 0.34300851741870664}",20,0,6.710957193842567,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
109,False,"{'a': 0.65, 'e': 0.3395955256449391}",35,11,22.31914887978827,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
110,False,"{'a': 0.65, 'e': 0.3362164937067333}",25,0,-33.885908507496545,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
111,False,"{'a': 0.65, 'e': 0.33287108369807955}",30,0,-63.09631625654457,"{0: 25, 1: 2, 2: 0, 3: 2, 4: 1}",0
112,False,"{'a': 0.65, 'e': 0.32955896107518906}",30,0,-38.787022546954134,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
113,False,"{'a': 0.65, 'e': 0.32627979462303947}",20,0,20.94218288441351,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 0.65, 'e': 0.3230332564222529}",20,13,14.24018627363694,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.65, 'e': 0.31981902181630384}",20,8,9.873142730809509,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.65, 'e': 0.31663676937905316}",25,13,-11.209890074937697,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.65, 'e': 0.3134861808826053}",25,0,-30.16229037389109,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
118,False,"{'a': 0.65, 'e': 0.31036694126548503}",20,5,0.8566744774832866,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.65, 'e': 0.30727873860113125}",20,11,12.604003281927298,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.65, 'e': 0.3042212640667041}",25,15,17.128888574761074,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.65, 'e': 0.30119421191220214}",25,2,-17.317437514627734,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
122,False,"{'a': 0.65, 'e': 0.2981972794298874}",20,16,8.257000238640542,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
